key,operator,year,private,state,regulated,fare_income_million,other_income_million,total_income,staff_costs_millions,diesel_costs_millions,rolling_stock_costs,other_costs,total_costs,subsidy,net_total,ftee,avg_staff_cost_per_staff,passenger_km_billions,passenger_journeys_millions,train_km_millions,route_km,vehicle_km_millions,LEN,stations_managed,age_rollingstock,mean_routekm,mean_trainkm_millions,mean_vehiclekm_millions,mean_avgstaffcost,mean_passkm_million,mean_agers,mean_tc,mean_LEN,ROUTE,TDEN,TLEN,logtc,INP,TDEN2,STATI2,TLEN2,TIME,TIME2,DENSTATI,TDENLEN,STATILN,LFAC,LNAGE,efficiencyu_score,efficiency_score,frontier_output,bigT,yearT,covid
1,Caledonian_Sleeper,2015,0,0,1,29.1,0.93,30.03,9.02,,0,60.38,69.4,22.08,-17.3,142,63534.75,0.19,0.28,1.45,1472,17.05,12,0,41.38,1471,1,16,65322,0,19,70,12,0,0,0,0,,,0,0,1,1,,,0,0,1,,,,2023,-8,0
1,Caledonian_Sleeper,2016,0,0,1,29.71,0.99,30.7,10.47,,0,54.51,64.98,20.17,-14.11,142,73761.35,0.22,0.32,1.44,1472,17.77,12,0,37.48,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,2023,-7,0
1,Caledonian_Sleeper,2017,0,0,1,29.86,0.99,30.85,12.25,,4.5,50.33,67.08,21.98,-14.25,168,72908.95,0.19,0.3,1.4,1471,17.27,12,0,38.51,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,2023,-6,0
1,Caledonian_Sleeper,2018,0,0,1,30.82,0.99,31.81,12.43,,3.33,78.24,93.99,26.77,-35.41,174,71437.11,0.2,0.31,1.42,1471,17.09,12,0,19.63,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,2023,-5,0
1,Caledonian_Sleeper,2019,0,0,1,32.42,0.81,33.22,12.87,,8.35,50.23,71.46,16.93,-21.31,195,66013.82,0.21,0.31,1.39,1471,17.27,12,0,7.95,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,5,25,0,0,0,0,-1,0,0,0,2023,-4,0
1,Caledonian_Sleeper,2020,0,0,1,6.89,0.04,6.93,11.83,,10.52,43.72,66.07,55.23,-3.91,184,64292.96,0.06,0.08,0.89,1471,10.49,12,0,8.95,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,6,36,0,0,0,-1,-1,0,0,0,2023,-3,1
1,Caledonian_Sleeper,2021,0,0,1,24.02,0.61,24.63,12.42,2.5,10.1,48.99,74.01,42.43,-6.96,187,66418.86,0.15,0.22,1.31,1471,15.85,12,0,4.23,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,7,49,0,0,0,0,-1,0,0,0,2023,-2,0
1,Caledonian_Sleeper,2022,0,0,1,29.65,0.92,30.58,13.26,2.94,9.01,42.06,67.27,32.23,-4.47,198,66945.13,0.18,0.27,1.39,1471,16.72,12,0,5.23,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,8,64,0,0,0,0,-1,0,0,0,2023,-1,0
1,Caledonian_Sleeper,2023,0,1,0,23.53,1.26,24.79,10.49,2.48,15.3,26.09,54.36,29.57,0,257,40797.85,0.2,0.31,1.42,1471,17.02,12,0,6.23,1471,1,16,65322,0,19,70,12,0,0,0,0,0,0,0,0,9,81,0,0,0,0,-1,0,0,0,2023,0,0
2,Chiltern,2015,0,0,1,233.55,27.55,261.1,71.9,16.63,35.78,97.01,221.31,-44.68,-4.89,851,84483.42,1.3,24.48,11.08,362,45.16,4,35,19.76,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,1,1,-1,0,11,0,0,0,0,0,2023,-8,0
2,Chiltern,2016,0,0,1,254.86,23.97,278.83,66.25,17.5,35.67,100.62,220.05,-60.47,-1.69,843,78588.98,1.45,26.41,12.03,362,48.78,4,35,24.34,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,2,4,101,0,4,0,0,0,0,0,2023,-7,0
2,Chiltern,2017,0,0,1,270.58,25.16,295.74,64.67,18.23,34.12,117.53,234.54,-54.16,7.04,840,76986.16,1.6,28.1,12.27,362,51.74,4,35,25.07,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,3,9,125,0,53,0,0,0,0,0,2023,-6,0
2,Chiltern,2018,0,0,1,284.51,25.39,309.9,67.57,18.85,28.88,126.72,242.03,-65.27,2.61,852,79307.23,1.65,29.32,12.23,354,51.68,4,35,25.85,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,4,16,148,0,55,0,0,0,0,0,2023,-5,0
2,Chiltern,2019,0,0,1,280.32,25.7,306.02,69.59,16.79,11.95,159.38,257.71,-56.2,-7.89,850,81876.33,1.58,28.39,12.8,349,49.6,4,35,27.71,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,5,25,221,0,-51,0,0,0,0,0,2023,-4,0
2,Chiltern,2020,0,0,1,38.64,7.34,45.99,66.96,13.59,11.69,168.2,260.44,189.29,-25.17,850,78771.74,0.21,4.62,9.35,349,36.43,4,35,27.95,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,6,36,-164,0,-44,-2,0,0,0,0,2023,-3,1
2,Chiltern,2021,0,0,1,135.68,13.65,149.33,66.35,13.93,13.74,127.05,221.07,73.32,1.59,896,74097.35,0.75,14.27,9.86,349,38.33,4,35,28.88,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,7,49,-99,0,-47,0,0,0,0,0,2023,-2,0
2,Chiltern,2022,0,0,1,181.11,13.48,194.6,63.05,17.72,20.55,112.27,213.59,21.57,2.57,866,72802.67,1.05,19.34,9.07,349,35.89,4,35,29.88,354,11,44,77667,1,27,235,4,0,0,0,0,0,0,1225,0,8,64,-201,0,-25,0,0,0,0,0,2023,-1,0
